site_code,date,gwe
388393N1217330W003,2014-04-30,9.693333333333333
388393N1217330W003,2014-05-31,-7.029999999999999
388393N1217330W003,2014-06-30,-10.088
388393N1217330W003,2014-07-31,-27.078333333333333
388393N1217330W003,2014-08-31,4.382000000000001
388393N1217330W003,2014-09-30,13.034
388393N1217330W003,2014-10-31,13.046000000000001
388393N1217330W003,2014-11-30,14.7575
388393N1217330W003,2014-12-31,18.8365
388393N1217330W003,2015-01-31,16.3835
388393N1217330W003,2015-04-30,-18.2358
388393N1217330W003,2015-05-31,-26.290451612903226
388393N1217330W003,2015-06-30,-36.77863333333333
388393N1217330W003,2015-07-31,-41.3131935483871
388393N1217330W003,2015-08-31,-40.19383870967742
388393N1217330W003,2015-09-30,3.4747666666666666
388393N1217330W003,2015-10-31,11.727161290322579
388393N1217330W003,2015-11-30,13.041266666666667
388393N1217330W003,2015-12-31,14.929387096774192
388393N1217330W003,2016-01-31,18.7325
388393N1217330W003,2016-02-29,19.337766666666667
388393N1217330W003,2016-03-31,22.247461538461536
388393N1217330W003,2018-06-30,13.03
388393N1217330W003,2018-07-31,1.25
388393N1217330W003,2018-08-31,-2.795
388393N1217330W003,2018-09-30,13.955
388393N1217330W003,2018-10-31,-19.17
388393N1217330W003,2018-11-30,15.73
388393N1217330W003,2018-12-31,17.93
388393N1217330W003,2019-01-31,20.83
388393N1217330W003,2019-02-28,22.53
388393N1217330W003,2019-03-31,23.83
388393N1217330W003,2020-02-29,18.13
388393N1217330W003,2020-03-31,18.13
388393N1217330W003,2020-05-31,13.13
388393N1217330W003,2020-06-30,-22.994999999999997
388393N1217330W003,2020-07-31,-26.869999999999997
388393N1217330W003,2020-08-31,-18.119999999999997
388393N1217330W003,2020-09-30,11.505
388393N1217330W003,2020-10-31,13.13
388393N1217330W003,2020-11-30,14.13
388393N1217330W003,2021-01-31,15.93
388393N1217330W003,2021-02-28,16.63
388393N1217330W003,2021-04-30,-2.3200000000000003
388393N1217330W003,2021-05-31,-31.627142857142854
388393N1217330W003,2021-06-30,-33.15
388393N1217330W003,2021-07-31,-34.410000000000004
388393N1217330W003,2021-08-31,6.21
388393N1217330W003,2021-09-30,12.685555555555556
388393N1217330W004,2013-12-31,14.52
388393N1217330W004,2014-01-31,13.4
388393N1217330W004,2014-02-28,14.82
388393N1217330W004,2014-03-31,16.02
388393N1217330W004,2014-04-30,8.72
388393N1217330W004,2014-05-31,-8.788
388393N1217330W004,2014-06-30,-12.437999999999999
388393N1217330W004,2014-07-31,-38.108000000000004
388393N1217330W004,2014-08-31,0.6559999999999991
388393N1217330W004,2014-09-30,11.302000000000001
388393N1217330W004,2014-10-31,11.45
388393N1217330W004,2014-11-30,13.2675
388393N1217330W004,2014-12-31,17.191
388393N1217330W004,2015-01-31,14.8285
388393N1217330W004,2015-04-30,-27.348399999999998
388393N1217330W004,2015-05-31,-38.13796774193548
388393N1217330W004,2015-06-30,-48.47133333333333
388393N1217330W004,2015-07-31,-49.842612903225806
388393N1217330W004,2015-08-31,-46.64958823529412
388393N1217330W004,2015-09-30,7.93
388393N1217330W004,2015-10-31,10.18929411764706
388393N1217330W004,2015-11-30,11.2058
388393N1217330W004,2015-12-31,13.127129032258063
388393N1217330W004,2016-01-31,16.822766666666666
388393N1217330W004,2016-02-29,17.436333333333334
388393N1217330W004,2016-03-31,20.256076923076925
388393N1217330W004,2018-06-30,12.03
388393N1217330W004,2018-07-31,0.43000000000000027
388393N1217330W004,2018-08-31,-3.445
388393N1217330W004,2018-09-30,12.605
388393N1217330W004,2018-10-31,-28.87
388393N1217330W004,2018-11-30,15.43
388393N1217330W004,2018-12-31,17.53
388393N1217330W004,2019-01-31,20.43
388393N1217330W004,2019-02-28,22.13
388393N1217330W004,2019-03-31,23.73
388393N1217330W004,2020-02-29,18.03
388393N1217330W004,2020-03-31,18.03
388393N1217330W004,2020-05-31,12.03
388393N1217330W004,2020-06-30,-34.269999999999996
388393N1217330W004,2020-07-31,-35.87
388393N1217330W004,2020-08-31,-25.945
388393N1217330W004,2020-09-30,12.155
388393N1217330W004,2020-10-31,12.53
388393N1217330W004,2020-11-30,13.53
388393N1217330W004,2021-01-31,15.43
388393N1217330W004,2021-02-28,16.28
388393N1217330W004,2021-04-30,-7.045000000000001
388393N1217330W004,2021-05-31,-39.784285714285716
388393N1217330W004,2021-06-30,-42.695
388393N1217330W004,2021-07-31,-43.25
388393N1217330W004,2021-08-31,4.67
388393N1217330W004,2021-09-30,13.374444444444444
388581N1217878W001,2021-05-31,-1.9
388581N1217878W001,2021-06-30,-6.282
388581N1217878W001,2021-07-31,-5.4775
388581N1217878W001,2021-08-31,-6.925
388581N1217878W001,2021-09-30,8.121428571428572
388610N1217697W001,2021-02-28,22.0
388610N1217697W001,2021-04-30,-59.166666666666664
388610N1217697W001,2021-05-31,-41.888888888888886
388610N1217697W001,2021-06-30,-48.6
388610N1217697W001,2021-07-31,-49.7
388610N1217697W001,2021-08-31,-29.575
388610N1217697W001,2021-09-30,-28.763636363636362
388618N1218044W001,2021-02-28,13.6
388618N1218044W001,2021-03-31,-5.2
388618N1218044W001,2021-04-30,-88.35
388618N1218044W001,2021-05-31,-140.25
388618N1218044W001,2021-06-30,-160.275
388618N1218044W001,2021-07-31,-170.62
388618N1218044W001,2021-08-31,-168.425
388618N1218044W001,2021-09-30,-6.11875
388643N1218042W001,1973-09-30,21.394000000000002
388643N1218042W001,1973-10-31,19.43
388643N1218042W001,1974-02-28,25.73
388643N1218042W001,1974-10-31,21.63
388643N1218042W001,1975-02-28,24.33
388643N1218042W001,1975-09-30,23.23
388643N1218042W001,1976-02-29,26.23
388643N1218042W001,1976-09-30,17.53
388643N1218042W001,1977-02-28,24.63
388643N1218042W001,1977-09-30,15.63
388643N1218042W001,1978-03-31,27.43
388730N1217474W001,2020-04-30,12.0
388730N1217474W001,2020-05-31,12.4
388730N1217474W001,2020-06-30,6.733333333333333
388730N1217474W001,2020-07-31,-16.150000000000002
388730N1217474W001,2020-08-31,-29.475
388730N1217474W001,2020-09-30,8.14
388730N1217474W001,2020-11-30,
388730N1217474W001,2020-12-31,10.2
388730N1217474W001,2021-01-31,
388730N1217474W001,2021-02-28,12.2
388730N1217474W001,2021-03-31,
388730N1217474W001,2021-04-30,-45.2
388730N1217474W001,2021-05-31,-110.125
388730N1217474W001,2021-06-30,-112.375
388730N1217474W001,2021-07-31,-93.46000000000001
388730N1217474W001,2021-08-31,-31.95
388730N1217474W001,2021-09-30,8.9375
388813N1217525W001,2005-12-31,28.7221
388813N1217525W001,2006-08-31,24.144499999999997
388813N1217525W001,2006-09-30,23.0553
388813N1217525W001,2006-10-31,20.309032258064516
388813N1217525W001,2006-11-30,21.159466666666667
388813N1217525W001,2006-12-31,24.259516129032257
388813N1217525W001,2007-01-31,22.563066666666668
388813N1217525W001,2007-02-28,25.955482758620686
388813N1217525W001,2007-03-31,22.34951612903226
388813N1217525W001,2007-04-30,21.127066666666668
388813N1217525W001,2007-05-31,21.059161290322578
388813N1217525W001,2007-06-30,21.942833333333333
388813N1217525W001,2007-07-31,23.04351612903226
388813N1217525W001,2007-08-31,22.14032258064516
388813N1217525W001,2007-09-30,21.863466666666667
388813N1217525W001,2007-10-31,19.940483870967743
388813N1217525W001,2007-11-30,20.845866666666666
388813N1217525W001,2007-12-31,23.468870967741935
388813N1217525W001,2008-01-31,27.890266666666665
388813N1217525W001,2008-02-29,26.807666666666666
388813N1217525W001,2008-03-31,21.774483870967742
388813N1217525W001,2008-04-30,21.456133333333334
388813N1217525W001,2008-05-31,21.826193548387096
388813N1217525W001,2008-06-30,21.819066666666668
388813N1217525W001,2008-07-31,21.39474193548387
388813N1217525W001,2008-08-31,20.916
388813N1217525W001,2008-09-30,19.875566666666664
388813N1217525W001,2008-10-31,19.57067741935484
388813N1217525W001,2008-11-30,18.65962962962963
388813N1217525W001,2008-12-31,19.488935483870968
388813N1217525W001,2009-01-31,19.494000000000003
388813N1217525W001,2009-02-28,28.62010344827586
388813N1217525W001,2009-03-31,23.211870967741934
388813N1217525W001,2009-04-30,21.3775
388813N1217525W001,2009-05-31,20.890967741935484
388813N1217525W001,2009-06-30,20.646333333333335
388813N1217525W001,2009-07-31,21.483870967741936
388813N1217525W001,2009-08-31,21.134096774193548
388813N1217525W001,2009-09-30,19.588133333333335
388813N1217525W001,2009-10-31,18.840032258064515
388813N1217525W001,2009-11-30,18.221766666666667
388813N1217525W001,2009-12-31,20.066161290322583
388813N1217525W001,2010-01-31,29.924500000000002
388813N1217525W001,2010-02-28,28.84803448275862
388813N1217525W001,2010-03-31,24.072870967741935
388813N1217525W001,2010-04-30,25.848633333333336
388813N1217525W001,2010-05-31,24.904967741935483
388813N1217525W001,2010-06-30,21.7955
388813N1217525W001,2010-07-31,21.715967741935486
388813N1217525W001,2010-08-31,20.969193548387096
388813N1217525W001,2010-09-30,21.260499999999997
388813N1217525W001,2010-10-31,20.191580645161288
388813N1217525W001,2010-11-30,22.008300000000002
388813N1217525W001,2010-12-31,31.711967741935485
388813N1217525W001,2011-01-31,26.095633333333335
388813N1217525W001,2011-02-28,27.74293103448276
388813N1217525W001,2011-03-31,34.50403125
388813N1217525W001,2011-04-30,28.17432258064516
388813N1217525W001,2011-05-31,28.394483870967743
388813N1217525W001,2011-06-30,26.217870967741938
388813N1217525W001,2011-07-31,22.75975
388813N1217525W001,2011-08-31,23.268545454545453
388813N1217525W001,2011-09-30,24.020032258064514
388813N1217525W001,2011-10-31,21.54784375
388813N1217525W001,2011-11-30,21.493129032258064
388813N1217525W001,2011-12-31,20.803125
388813N1217525W001,2012-01-31,23.21367741935484
388813N1217525W001,2012-02-29,21.14058064516129
388813N1217525W001,2012-03-31,26.338290322580644
388813N1217525W001,2012-04-30,24.02603125
388813N1217525W001,2012-05-31,22.026
388813N1217525W001,2012-06-30,22.953166666666668
388813N1217525W001,2012-07-31,24.398375
388813N1217525W001,2012-08-31,22.760757575757577
388813N1217525W001,2012-09-30,21.662290322580642
388813N1217525W001,2012-10-31,19.875677419354837
388813N1217525W001,2012-11-30,25.70628125
388813N1217525W001,2012-12-31,29.59015625
388813N1217525W001,2013-01-31,24.6237
388813N1217525W001,2013-02-28,22.33074193548387
388813N1217525W001,2013-03-31,22.41832258064516
388813N1217525W001,2013-04-30,20.2221875
388813N1217525W001,2013-05-31,21.661225806451615
388813N1217525W001,2013-06-30,23.05609375
388813N1217525W001,2013-07-31,22.72265625
388813N1217525W001,2013-08-31,22.587903225806453
388813N1217525W001,2013-09-30,20.80353125
388813N1217525W001,2013-10-31,18.724870967741936
388813N1217525W001,2013-11-30,18.90109375
388813N1217525W001,2013-12-31,18.74490625
388813N1217525W001,2014-01-31,18.398500000000002
388813N1217525W001,2014-02-28,22.81874193548387
388813N1217525W001,2014-03-31,21.970354838709678
388813N1217525W001,2014-04-30,18.487833333333334
388813N1217525W001,2014-05-31,19.24809375
388813N1217525W001,2014-06-30,20.675290322580643
388813N1217525W001,2014-07-31,21.153000000000002
388813N1217525W001,2014-08-31,20.4445625
388813N1217525W001,2014-09-30,19.44783870967742
388813N1217525W001,2014-10-31,18.35778125
388813N1217525W001,2014-11-30,22.393833333333337
388813N1217525W001,2014-12-31,28.51632258064516
388813N1217525W001,2015-01-31,22.903399999999998
388813N1217525W001,2015-02-28,23.062275862068965
388813N1217525W001,2015-03-31,19.33240625
388813N1217525W001,2015-04-30,18.715700000000002
388813N1217525W001,2015-05-31,19.325483870967744
388813N1217525W001,2015-06-30,17.413354838709676
388813N1217525W001,2015-07-31,17.12871875
388813N1217525W001,2015-08-31,18.72958064516129
388813N1217525W001,2015-09-30,19.63877419354839
388813N1217525W001,2015-10-31,18.75640625
388813N1217525W001,2015-11-30,18.338290322580644
388813N1217525W001,2015-12-31,22.56821875
388813N1217525W001,2016-01-31,29.817366666666665
388813N1217525W001,2016-02-29,26.031266666666667
388813N1217525W001,2016-03-31,30.44025
388813N1217525W001,2016-04-30,20.978366666666666
388813N1217525W001,2016-05-31,18.84471875
388813N1217525W001,2016-06-30,20.484935483870967
388813N1217525W001,2016-07-31,20.68851612903226
388813N1217525W001,2016-08-31,22.323166666666665
388813N1217525W001,2016-10-31,19.43
388813N1217525W001,2017-02-28,33.87
388813N1217525W001,2017-05-31,27.000818181818182
388813N1217525W001,2017-06-30,22.2231
388813N1217525W001,2017-07-31,21.383375
388813N1217525W001,2017-08-31,23.089000000000002
388813N1217525W001,2017-09-30,23.123064516129034
388813N1217525W001,2017-10-31,21.0226875
388813N1217525W001,2017-11-30,21.710033333333335
388813N1217525W001,2017-12-31,21.120709677419352
388813N1217525W001,2018-01-31,23.013290322580648
388813N1217525W001,2018-02-28,20.352
388813N1217525W001,2018-03-31,26.87521875
388813N1217525W001,2018-04-30,22.47583870967742
388813N1217525W001,2018-05-31,21.125580645161293
388813N1217525W001,2018-06-30,21.56709677419355
388813N1217525W001,2018-07-31,22.683352941176473
388813N1217525W001,2018-10-31,20.96
388813N1217525W001,2018-11-30,19.7055
388813N1217525W001,2018-12-31,23.71193548387097
388813N1217525W001,2019-01-31,31.34146666666667
388813N1217525W001,2019-02-28,34.8337
388813N1217525W001,2019-03-31,34.88732258064516
388813N1217525W001,2019-04-30,30.20309677419355
388813N1217525W001,2019-05-31,28.040290322580645
388813N1217525W001,2019-06-30,22.89393548387097
388813N1217525W001,2019-07-31,22.097709677419356
388813N1217525W001,2019-08-31,23.342624999999998
388813N1217525W001,2019-09-30,23.294666666666668
388813N1217525W001,2019-10-31,19.603461538461538
388813N1217525W001,2019-11-30,21.1253
388813N1217525W001,2019-12-31,23.487032258064513
388813N1217525W001,2020-01-31,24.043633333333332
388813N1217525W001,2020-02-29,21.7512
388813N1217525W001,2020-03-31,22.040387096774193
388813N1217525W001,2020-04-30,20.17556666666667
388813N1217525W001,2020-05-31,21.314096774193548
388813N1217525W001,2020-06-30,20.8455
388813N1217525W001,2020-07-31,20.90735483870968
388813N1217525W001,2020-08-31,21.613322580645164
388813N1217525W001,2020-09-30,20.6802
388813N1217525W001,2020-10-31,18.540799999999997
388813N1217525W001,2020-11-30,18.7889
388813N1217525W001,2020-12-31,19.390235294117648
388813N1217525W001,2021-01-31,20.580617647058823
388813N1217525W001,2021-02-28,20.36734375
388813N1217525W001,2021-03-31,21.392916666666665
388813N1217525W001,2021-04-30,18.82822857142857
388813N1217525W001,2021-05-31,18.395942857142856
388813N1217525W001,2021-06-30,17.616685714285712
388813N1217525W001,2021-07-31,18.59697222222222
388813N1217525W001,2021-08-31,19.429666666666666
388813N1217525W001,2021-09-30,22.408333936651584
388813N1217525W002,2006-08-31,18.17983333333333
388813N1217525W002,2006-09-30,18.082833333333333
388813N1217525W002,2006-10-31,18.516129032258064
388813N1217525W002,2006-11-30,19.750758620689655
388813N1217525W002,2006-12-31,21.2045
388813N1217525W002,2007-01-31,21.1746
388813N1217525W002,2007-02-28,22.259413793103448
388813N1217525W002,2007-03-31,21.71167741935484
388813N1217525W002,2007-04-30,19.904433333333333
388813N1217525W002,2007-05-31,17.727225806451614
388813N1217525W002,2007-06-30,15.286633333333333
388813N1217525W002,2007-07-31,14.921354838709679
388813N1217525W002,2007-08-31,15.504000000000001
388813N1217525W002,2007-09-30,16.467566666666666
388813N1217525W002,2007-10-31,17.189225806451613
388813N1217525W002,2007-11-30,18.513433333333335
388813N1217525W002,2007-12-31,20.117451612903224
388813N1217525W002,2008-01-31,22.497233333333334
388813N1217525W002,2008-02-29,23.3693
388813N1217525W002,2008-03-31,22.36374193548387
388813N1217525W002,2008-04-30,19.74046666666667
388813N1217525W002,2008-05-31,17.0698064516129
388813N1217525W002,2008-06-30,13.483366666666665
388813N1217525W002,2008-07-31,14.179451612903225
388813N1217525W002,2008-08-31,14.726258064516129
388813N1217525W002,2008-09-30,15.175766666666668
388813N1217525W002,2008-10-31,16.070612903225808
388813N1217525W002,2008-11-30,17.348037037037038
388813N1217525W002,2008-12-31,18.231
388813N1217525W002,2009-01-31,18.947966666666666
388813N1217525W002,2009-02-28,21.64503448275862
388813N1217525W002,2009-03-31,21.88890322580645
388813N1217525W002,2009-04-30,19.849300000000003
388813N1217525W002,2009-05-31,17.983161290322577
388813N1217525W002,2009-06-30,14.9312
388813N1217525W002,2009-07-31,12.065129032258065
388813N1217525W002,2009-08-31,11.517225806451613
388813N1217525W002,2009-09-30,11.7133
388813N1217525W002,2009-10-31,14.479096774193547
388813N1217525W002,2009-11-30,16.182533333333332
388813N1217525W002,2009-12-31,17.771548387096775
388813N1217525W002,2010-01-31,21.012633333333333
388813N1217525W002,2010-02-28,22.56872413793103
388813N1217525W002,2010-03-31,22.333064516129035
388813N1217525W002,2010-04-30,22.297866666666668
388813N1217525W002,2010-05-31,20.13493548387097
388813N1217525W002,2010-06-30,16.763033333333333
