id,nrd,idwn,name,irv,igw,botr,x,y,proj,geometry,bathymetry_ft
66,38,2950,SACRAMENTO,2914,1354,271.57,568981.4147,4459912.371,62085.68480249172,POINT (568981.4147 4459912.371),287.0152587890625
66,38,2950,SACRAMENTO,2915,1413,262.92,568452.247,4459182.119,62987.508753286864,POINT (568452.247 4459182.119),268.24896240234375
66,38,2950,SACRAMENTO,2916,1471,263.3,567933.6627,4458483.618,63857.470432447335,POINT (567933.6627 4458483.618),283.6555480957031
66,38,2950,SACRAMENTO,2917,1469,271.72,567182.2444,4457996.784,64752.812157785054,POINT (567182.2444 4457996.784),274.8072509765625
66,38,2950,SACRAMENTO,2918,1468,271.96,566420.243,4457679.283,65578.31383470824,POINT (566420.243 4457679.283),282.93316650390625
66,38,2950,SACRAMENTO,2919,1467,271.19,565848.7418,4457076.032,66409.29240880189,POINT (565848.7418 4457076.032),271.2047119140625
66,38,2950,SACRAMENTO,2920,1466,271.58,565785.2417,4456303.447,67184.48260799493,POINT (565785.2417 4456303.447),274.1465148925781
66,38,2950,SACRAMENTO,2921,1465,270.39,565922.8253,4455499.112,68000.49978870492,POINT (565922.8253 4455499.112),273.7987365722656
66,38,2950,SACRAMENTO,2922,1522,269.95,566219.1592,4454747.694,68808.23909752467,POINT (566219.1592 4454747.694),270.0891418457031
66,38,2950,SACRAMENTO,2923,1521,261.75,566801.2437,4454207.943,69602.06118536388,POINT (566801.2437 4454207.943),265.33245849609375
66,38,2950,SACRAMENTO,2924,1578,259.06,567552.6618,4454345.526,70365.97102487148,POINT (567552.6618 4454345.526),284.12542724609375
66,38,2950,SACRAMENTO,2925,1579,252.91,567637.3287,4455118.111,71143.18146367204,POINT (567637.3287 4455118.111),266.6570129394531
66,38,2950,SACRAMENTO,2926,1580,245.52,567848.9958,4455901.279,71954.44903817953,POINT (567848.9958 4455901.279),270.8380432128906
66,38,2950,SACRAMENTO,2927,1530,234.24,568314.6634,4456631.531,72820.54042896585,POINT (568314.6634 4456631.531),261.0612487792969
66,38,2950,SACRAMENTO,2928,1531,238.85,569087.2483,4456853.781,73624.45739620067,POINT (569087.2483 4456853.781),262.98638916015625
68,20,2970,SACRAMENTO,2950,1531,238.85,569087.2483,4456853.781,73624.45739620067,POINT (569087.2483 4456853.781),262.98638916015625
68,20,2970,SACRAMENTO,2951,1532,247.73,569785.7497,4456462.197,74425.23341660752,POINT (569785.7497 4456462.197),250.73309326171875
68,20,2970,SACRAMENTO,2952,1533,248.49,570547.7513,4456187.03,75235.3959412229,POINT (570547.7513 4456187.03),232.4615936279297
68,20,2970,SACRAMENTO,2953,1584,250.43,570103.2503,4455488.529,76063.33602722084,POINT (570103.2503 4455488.529),252.45455932617188
68,20,2970,SACRAMENTO,2954,1635,245.06,569849.2497,4454726.527,76866.55664000714,POINT (569849.2497 4454726.527),246.63916015625
68,20,2970,SACRAMENTO,2955,1630,247.95,569626.9994,4453901.025,77721.45356236277,POINT (569626.9994 4453901.025),252.6942596435547
68,20,2970,SACRAMENTO,2956,1629,248.4,569161.3318,4453054.357,78687.73148093205,POINT (569161.3318 4453054.357),251.05398559570312
68,20,2970,SACRAMENTO,2957,1628,249.32,568462.8304,4452334.689,79690.64036813242,POINT (568462.8304 4452334.689),250.93089294433594
68,20,2970,SACRAMENTO,2958,1625,247.61,567719.3497,4451797.584,80607.8346399734,POINT (567719.3497 4451797.584),252.57496643066406
68,20,2970,SACRAMENTO,2959,1572,244.84,567069.9915,4451064.293,81587.31499331826,POINT (567069.9915 4451064.293),248.4098358154297
68,20,2970,SACRAMENTO,2960,1571,236.5,566406.7911,4450458.762,82485.36987055044,POINT (566406.7911 4450458.762),239.96231079101562
68,20,2970,SACRAMENTO,2961,1619,239.98,565955.046,4449670.611,83393.80568786275,POINT (565955.046 4449670.611),246.62466430664062
68,20,2970,SACRAMENTO,2962,1675,240.87,565877.3949,4449430.908,83645.77239506847,POINT (565877.3949 4449430.908),244.163330078125
68,20,2970,SACRAMENTO,2963,1722,243.22,565596.936,4448854.115,84287.13606681621,POINT (565596.936 4448854.115),244.558837890625
68,20,2970,SACRAMENTO,2964,1721,228.83,565020.5943,4448265.389,85111.00987889827,POINT (565020.5943 4448265.389),256.1213684082031
68,20,2970,SACRAMENTO,2965,1720,233.31,565549.7621,4447656.846,85917.44843415623,POINT (565549.7621 4447656.846),248.48812866210938
68,20,2970,SACRAMENTO,2966,1767,231.14,565946.6379,4446942.47,86734.66533926883,POINT (565946.6379 4446942.47),237.8606414794922
68,20,2970,SACRAMENTO,2967,1766,233.69,566489.0348,4446188.406,87663.53934214792,POINT (566489.0348 4446188.406),238.7545166015625
68,20,2970,SACRAMENTO,2968,1813,232.96,567004.9733,4445593.092,88451.31551237553,POINT (567004.9733 4445593.092),238.49667358398438
68,20,2970,SACRAMENTO,2969,1858,233.32,567789.7795,4445080.044,89388.93964915042,POINT (567789.7795 4445080.044),239.0351104736328
69,16,3004,SACRAMENTO,2970,1858,233.68,567789.7795,4445080.044,89388.93964915042,POINT (567789.7795 4445080.044),239.0351104736328
69,16,3004,SACRAMENTO,2971,1909,232.53,568618.9349,4444971.32,90225.19295140107,POINT (568618.9349 4444971.32),252.05722045898438
